Gene,Label,Func_likelihood,Fam_size,Max_id_paralog,WGD_alpha,WGD_beta_gamma,Dup_recent,Dup_tandem,Singleton,Max_PCC_GM_abiotic,Max_PCC_SM_abiotic,Max_PCC_GM_biotic,Max_PCC_SM_biotic,Max_PCC_GM_hormone,Max_PCC_SM_hormone,Expr_med_dev,Expr_max_dev,Expr_breadth_dev
AT2G20690,GM,,1,,NA,NA,0,0,0,0.753,0.499,0.894,0.864,0.891,0.698,267.5269488,696.5847457,64
AT5G10920,GM,0.95,1,,1,1,0,0,0,0.857,0.777,0.861,0.786,0.912,0.781,308.5492816,856.2340967,64
AT4G02580,GM,1,1,,0,0,0,0,0,0.824,0.699,0.912,0.736,0.921,0.801,2107.629695,3326.370884,64
AT5G52840,GM,,2,50.3,0,1,0,0,1,0.81,0.617,0.885,0.63,0.919,0.852,1543.909031,2561.466645,64
AT4G02620,GM,,1,,0,0,0,0,0,0.63,0.519,0.9,0.883,0.875,0.634,1782.411856,4270.191516,64
AT3G10700,GM,0.96,2,23.72,0,1,0,0,0,0.768,0.601,0.789,0.751,0.814,0.616,84.9371689,222.2905285,62
AT1G19580,GM,1,5,78.57,0,0,0,0,0,0.74,0.633,0.864,0.844,0.833,0.798,250.1467186,471.5060731,64
AT5G05920,GM,0.89,1,,0,0,0,0,0,0.785,0.422,0.792,0.596,0.803,0.718,59.82119239,90.71356654,64
AT4G20960,GM,1,2,31.36,0,0,0,0,0,0.876,0.803,0.893,0.836,0.822,0.758,213.4327923,659.4285241,64
AT3G03100,GM,1,1,,0,0,0,0,1,0.688,0.487,0.907,0.909,0.875,0.835,1770.108818,4257.857259,64
AT3G57220,GM,1,2,88.86,1,0,0,0,0,0.78,0.657,0.863,0.685,0.803,0.733,114.5860859,233.6156737,61
AT2G29690,GM,1,4,72.07,1,0,0,0,0,0.793,0.631,0.819,0.716,0.826,0.698,122.5231145,218.0556181,63
AT5G63890,GM,,1,,1,0,,,,0.876,0.723,0.918,0.878,0.827,0.738,410.3056549,1058.560338,64
