pair_ID	gi_score	Zn_starvation_reg	Proteasome	PPI_overlap	PPI_total	Te_homolog_num	Ch_homolog_num	Localized_Golgi_to_ER	Localized_cytoplasm	Min_mRNA_halflife	Total_mRNA_halflife
YAL005C_YBR169C	-0.0538495		0	3.746397695	347	0	1	0	2	72	181
YAL005C_YDL229W	0.0289795	0	0		598	0	2	0	2	11	83
YAL005C_YER103W	-0.0127255	0	0	2.298850575	348	0	2	0	2	56	128
YAL005C_YHR064C	0.0372095	0	0	3.243243243	370	0	1	0	2	18	90
YAL005C_YJL034W	-0.32252565	0	0	2.577319588	388	0	1	0	1	23	95
YAL005C_YJR045C	0.0401039	0	0	0.564971751	354	0	2	0	1	48	120
YAL005C_YKL073W	-0.00092375	0	0	0.872093023	344	0	1	0	1	22	94
YAL005C_YLL024C	-0.7370165	0	0	8.401084011	369	0	2	0	2	8	80
YAL005C_YPL106C	0.052432	0	0	5.46875	384	0	1	0	2	32	104
YAL007C_YDL018C	0.0346118	0	0	7.894736842	76	0	0	0	0	28	59
YAL007C_YGL200C	-0.019472	0	0	10.95890411	73	0	0	0	0	28	62
YAL007C_YOR016C	-0.0202602	0	0	17.85714286	28	0	0	0	0	28	63
YAL012W_YFR055W	0.007172	0	0	0	53	0	0	0	1	21	45
YAL012W_YHR112C	0.005642	0	0	0	2	0	0	0	2	24	76
YAL012W_YJR130C	-0.032716	0	0	0	53	0	0	0	2	38	38
YAL012W_YLL058W	0.0507096	0	0	0	3	0	0	0	1	24	68
YAL012W_YLR303W	0.025224	0	0	0	2	0	0	0	1	38	38
YAL014C_YGL212W	-0.0415762	0	0	11.11111111	45	0	0	0	2	38	38
YAL015C_YOL043C	0.0232831	0	0	0	12	0	0	0	1	33	74
YAL017W_YBR160W	-0.135035	0	0	1.943462898	566	0	0	0	2	25	94
YAL017W_YBR274W	0.09887315	0	0	1.449275362	69	0	0	0	2	27	96
YAL017W_YCL024W	-0.011105	0	0	1.470588235	68	0	0	0	1	31	100
YAL017W_YCR008W	0.00679675	0	0	1.282051282	78	0	0	0	1	17	86
YAL017W_YCR073C	0.012126	0	0	4.347826087	46	0	0	0	1	58	127
YAL017W_YCR091W	-0.031579	0	0	13.20754717	53	0	0	0	1	42	111
YAL017W_YDL025C	0.0152066	0	0	1.612903226	62	0	0	0	1	50	119
YAL017W_YDL028C	-0.10009265	0	0	1.162790698	86	0	0	0	1	40	109
YAL017W_YDL079C	-0.0328425	0	0	0	35	0	0	0	1	38	38
YAL017W_YDL101C	-0.00458775	0	0	1.315789474	76	0	0	0	1	41	110
YAL017W_YDL108W	0.0087525	0	0	0	67	0	0	0	1	22	91
YAL017W_YDL214C	-0.0147	0	0	8.196721311	61	0	0	0	1	42	111
YAL017W_YDR122W	0.0027221	0	0	0	53	0	0	0	2	59	128
YAL017W_YDR247W	0.0247525	0	0	1.136363636	88	0	0	0	2	50	119
YAL017W_YDR283C	-0.0173775	0	0	1.369863014	73	0	0	0	2	47	116
YAL017W_YDR466W	-0.00107315	0	0	3.225806452	62	0	0	0	1	49	118
YAL017W_YDR477W	0.04586875	0	0	2.369668246	211	0	0	0	2	38	107
YAL017W_YDR490C	0.0459	0	0	0	45	0	0	0	1	41	110
YAL017W_YDR507C	0.0213325	0	0	2.5	80	0	0	0	2	37	106
YAL017W_YDR523C	0.00854175	0	0	1.351351351	74	0	0	0	2	38	38
YAL017W_YER129W	0.0001276	0	0	0	47	0	0	0	2	40	109
YAL017W_YFL033C	-0.0411305	0	0	0	47	0	0	0	2	57	126
YAL017W_YFR014C	0.0231255	0	0	0.5	200	0	0	0	2	46	115
YAL017W_YGL158W	0.07067875	0	0	3.086419753	162	0	0	0	1	6	75
YAL017W_YGL179C	0.00580975	0	0	3.80952381	105	0	0	0	1	38	107
YAL017W_YGL180W	-0.01778315	0	0	1.5625	256	0	0	0	1	61	130
YAL017W_YGR040W	-0.0018194	0	0	2.75862069	145	0	0	0	2	20	89
YAL017W_YGR052W	-0.00707925	0	0	7.246376812	69	0	0	0	2	16	85
YAL017W_YGR092W	-0.24164795	0	0	7.575757576	132	0	0	0	2	36	105
YAL017W_YHR030C	-0.0584836	0	0	0	95	0	0	0	2	34	103
YAL017W_YHR082C	-0.00280265	0	0	5.936073059	219	0	0	0	2	43	112
YAL017W_YIL035C	-0.015862	0	0	0.704225352	142	0	0	0	2	41	110
YAL017W_YIL095W	-0.01407375	0	0	5.825242718	103	0	0	0	1	33	102
YAL017W_YJL095W	-0.0311615	0	0	3.355704698	149	0	0	0	2	16	85
YAL017W_YJL106W	0.0188286	0	0	7.142857143	98	0	0	0	1	26	95
YAL017W_YJL128C	-0.00197725	0	0	0	55	0	0	0	2	34	103
YAL017W_YJL141C	0.0241995	0	0	0	82	0	0	0	1	38	38
YAL017W_YJL164C	-0.0353184	0	0	3.525641026	312	0	0	0	2	48	117
YAL017W_YJL165C	-0.03326885	0	0	5.660377358	53	0	0	0	1	36	105
YAL017W_YJL187C	-0.0093704	0	0	1.204819277	166	0	0	0	1	40	109
YAL017W_YJR059W	-0.0049775	0	0	3.964757709	227	0	0	0	2	43	112
YAL017W_YKL048C	-0.05222175	0	0	0	51	0	0	0	1	44	113
YAL017W_YKL101W	-0.02741285	0	0	2.654867257	113	0	0	0	1	37	106
YAL017W_YKL116C	0.028274	0	0	14	50	0	0	0	2	33	102
YAL017W_YKL139W	0.385022	0	0	0	79	0	0	0	2	31	100
YAL017W_YKL161C	0.01220315	0	0	0	48	0	0	0	1	23	92
YAL017W_YKL166C	-0.0210874	0	0	3.25203252	123	0	0	0	2	16	85
YAL017W_YKL168C	0.0415176	0	0	0	45	0	0	0	2	44	113
YAL017W_YKL171W	0.00419975	0	0	8.450704225	71	0	0	0	1	61	130
YAL017W_YKL198C	-0.035138	0	0	0	37	0	0	0	1	39	108
YAL017W_YLL019C	-0.006016	0	0	1.851851852	54	0	0	0	1	38	38
YAL017W_YLR096W	-0.0540401	0	0	0.833333333	120	0	0	0	1	33	102
YAL017W_YLR113W	0.00526425	0	0	0	71	0	0	0	2	32	101
YAL017W_YLR248W	0.01499185	0	0	8.620689655	58	0	0	0	2	48	117
YAL017W_YMR104C	0.00694535	0	0	0	43	0	0	0	2	38	38
YAL017W_YMR139W	0.0349706	0	0	1.408450704	71	0	0	0	2	50	119
YAL017W_YMR291W	-0.05578685	0	0	2.380952381	42	0	0	0	2	64	133
YAL017W_YNL020C	0.00148065	0	0	0	49	0	0	0	1	27	96
YAL017W_YNR031C	-0.00299315	0	0	0	42	0	0	0	2	29	98
YAL017W_YNR047W	0.00867325	0	0	0	32	0	0	0	2	54	123
YAL017W_YOL016C	0.02457325	0	0	1.315789474	76	0	0	0	2	41	110
YAL017W_YOL045W	0.00908085	0	0	1.960784314	51	0	0	0	2	49	118
YAL017W_YOL113W	0.0200929	0	0	4	75	0	0	0	1	43	112
YAL017W_YOL128C	0.02778875	0	0	1.960784314	51	0	0	0	1	38	107
YAL017W_YOR061W	0.0140635	0	0	0	88	0	0	0	2	28	97
YAL017W_YOR231W	-0.01701025	0	0	1.785714286	56	0	0	0	1	45	114
YAL017W_YOR233W	-0.014408	0	0	5.263157895	57	0	0	0	1	29	98
YAL017W_YOR267C	-0.04312075	0	0	3.797468354	79	0	0	0	2	40	109
YAL017W_YOR351C	-0.0764446	0	0	3.488372093	86	0	0	0	1	38	38
YAL017W_YPL026C	-0.0141979	0	0	4.166666667	72	0	0	0	2	69	184
YAL017W_YPL031C	0.0068185	0	0	1.298701299	462	0	0	0	2	42	111
YAL017W_YPL042C	0.12475125	0	0	0	73	0	0	0	1	32	101
YAL017W_YPL140C	-0.0117845	0	0	2.173913043	46	0	0	0	2	29	98
YAL017W_YPL141C	-0.01702125	0	0	5.128205128	117	0	0	0	2	17	86
YAL017W_YPL150W	-0.03112285	0	0	1.515151515	66	0	0	0	1	41	110
YAL017W_YPL153C	-0.0400598	0	0	2.941176471	136	0	0	0	1	38	107
YAL017W_YPL203W	0.009915	0	0	2.941176471	102	0	0	0	1	48	117
YAL017W_YPL209C	-0.0640116	0	0	0.909090909	110	0	0	0	1	17	86
YAL017W_YPR054W	0.01017085	0	0	0	44	0	0	0	1	38	38
YAL017W_YPR106W	0.0218911	0	0	1.754385965	57	0	0	0	1	36	105
YAL017W_YPR111W	0.0328339	0	0	2.777777778	36	0	0	0	2	34	103
YAL017W_YPR161C	-0.1818681	0	0	2	100	0	0	0	1	28	97
YAL018C_YOL047C	-0.0378106	0	0	0	53	0	0	0	0	21	51
YAL018C_YOL048C	0.0219769	0	0	0	53	0	0	0	0	30	96
YAL019W_YBR073W	-0.0009995	0	0	0	10	0	0	0	0	10	43
YAL019W_YBR114W	-0.0410278	0	0	0	31	0	0	0	1	10	46
YAL019W_YBR245C	-0.0674757	0	0	0	34	0	0	0	0	10	30
YAL019W_YDR334W	-0.0046785	0	0	0	30	0	0	0	0	10	40
YAL019W_YER164W	-0.116432	0	0	2.222222222	45	0	0	0	0	10	39
YAL019W_YFR038W	0.0235995	0	0	0	53	0	0	0	0	10	27
YAL019W_YGL163C	-0.0636427	0	0	0	15	0	0	0	1	10	38
YAL019W_YJR035W	0.017374	0	0	0	36	0	0	0	1	10	57
YAL019W_YLR032W	0.0159113	0	0	0	19	0	0	0	1	10	38
YAL019W_YLR247C	0.0363478	0	0	0	57	0	0	0	0	10	58
YAL019W_YOR191W	-0.045513	0	0	0	19	0	0	0	0	10	38
YAL019W_YOR304W	0.0211955	0	0	5	20	0	0	0	0	10	40
YAL019W_YPL082C	-0.1490307	0	0	0	98	0	0	0	0	38	38
YAL021C_YJL005W	0.0698484	0	0	2.272727273	44	0	0	0	1	32	80
YAL021C_YMR285C	0.0198388	0	0	0	34	0	0	0	2	32	66
YAL021C_YOL042W	-0.029628	0	0	0	53	0	0	0	1	31	63
YAL023C_YDL093W	0.02290524	0	0	0	16	0	0	0	0	16	38
YAL023C_YDL095W	-0.44163016	0	0	19.23076923	52	0	0	0	0	16	42
YAL023C_YDR307W	-0.12294424	0	0	0	32	0	0	0	0	16	42
YAL023C_YGR199W	-0.69460184	0	0	0	53	0	0	0	0	16	67
YAL023C_YJR143C	-0.7650868	0	0	0	16	0	0	0	0	16	38
YAL023C_YOR321W	-1.015893	0	0	6.25	16	0	0	0	0	16	42
YAL024C_YLR310C	-0.0350574	0	0	1.960784314	102	0	0	0	2	25	88
YAL026C_YDR038C	-0.01334	0	0	0	24	0	0	1	0	38	38
YAL026C_YDR040C	0.003834	0	0	0	53	0	0	1	0	38	38
YAL026C_YDR093W	0.1130064	0	0	8.333333333	24	0	0	1	0	38	38
YAL026C_YGL006W	0.0034716	0	0	0	39	0	0	1	0	38	38
YAL026C_YGL167C	-0.1834016	0	0	0	43	0	0	1	0	38	38
YAL026C_YIL048W	-0.33991	0	0	0	24	0	0	2	0	38	38
YAL026C_YMR162C	-0.047314	0	0	8.333333333	24	0	0	1	1	38	38
YAL028W_YOR324C	-0.05168544	0	0	14.28571429	35	0	0	0	0	32	101
YAL029C_YKL129C	-0.02466315	0	0	2	50	0	0	0	2	30	70
YAL029C_YMR109W	0.00790501	0	0	2.898550725	69	0	0	0	1	30	61
YAL029C_YOR326W	0.01357224	0	0	8.771929825	57	0	0	0	2	30	60
YAL030W_YLR093C	0.0205896	0	0	1.818181818	55	0	0	0	0	54	110
YAL030W_YOR327C	-0.1660684	0	0	12.12121212	33	0	0	0	0	31	85
YAL034C_YOR338W	-0.0017736	0	0	0	53	0	0	0	0	50	139
YAL036C_YGR173W	-0.05508315	0	0	19.04761905	21	0	0	0	2	11	22
YAL036C_YPL093W	0.00431275	0	0	1.298701299	77	0	0	0	1	8	19
YAL038W_YOR347C	0.00544625	0	0	0	2	0	0	0	2	17	61
YAL039C_YKL087C	0.0398134	0	0	0	2	0	0	0	0	38	79
YAL040C_YDL155W	0.025819	0	0	4.651162791	43	0	0	0	1	16	67
YAL040C_YGR109C	-0.01130775	0	0	15.38461538	13	0	0	0	0	28	79
YAL040C_YLR210W	0.039859	0	0	9.090909091	11	0	0	0	0	16	67
YAL040C_YMR199W	-0.15370525	0	0	23.07692308	13	0	0	0	1	32	83
YAL040C_YPL256C	-0.10943125	0	0	11.76470588	34	0	0	0	1	25	76
YAL040C_YPR120C	0.0067385	0	0	6.25	32	0	0	0	0	19	70
YAL041W_YGR070W	0.0799044	0	0	0	53	0	0	0	1	41	114
YAL041W_YLR371W	0.064796	0	0	0	46	0	0	0	2	41	88
YAL042W_YML067C	0.0339663	0	0	7.407407407	27	0	0	0	0	21	50
YAL048C_YOR101W	0.004731	0	0	0	9	0	0	0	1	38	38
YAL051W_YCR106W	-0.0049311	0	0	0	53	0	0	0	0	38	38
YAL051W_YDR303C	-0.09414888	0	0	0	46	0	0	0	0	30	63
YAL051W_YKR064W	-0.04122059	0	0	0	53	0	0	0	1	33	84
YAL051W_YLL054C	0.03174465	0	0	0	53	0	0	0	1	38	38
YAL051W_YLR256W	-0.00998535	0	0	0	15	0	0	0	0	38	38
YAL051W_YOR363C	-0.0100194	0	0	9.090909091	11	0	0	0	1	33	77
YAL053W_YGL139W	0.00650766	0	0	0	53	0	0	0	0	21	58
YAL053W_YOR365C	-0.0287635	0	0	0	25	0	0	0	0	27	64
YAL053W_YPL221W	-0.8443455	0	0	0	25	0	0	0	0	34	71
YAL054C_YLR153C	-0.03447605	0	0	0	22	0	0	0	1	23	89
YAL056W_YOR371C	-0.15400839	0	0	50	4	0	0	0	2	38	38
YAL060W_YBR046C	-0.04227604	0	0	0	53	0	0	0	2	44	89
YAL060W_YDL168W	0.00174364	0	0	0	53	0	0	0	2	23	67
YAL060W_YDL246C	0.0139218	0	0	0	53	0	0	0	1	38	38
YAL060W_YJR159W	-0.016267	0	0	0	53	0	0	0	1	38	38
YAL060W_YLR070C	0.0322572	0	0	0	53	0	0	0	1	38	38
YAL060W_YMR083W	-0.006706	0	0	0	53	0	0	0	1	40	84
YAL060W_YMR303C	0.0079708	0	0	0	53	0	0	0	2	38	38
YAL060W_YMR318C	-0.0068212	0	0	0	53	0	0	0	2	28	72
YAL061W_YCR105W	-0.0270905	0	0	0	4	0	0	0	1	11	41
YAL061W_YDL168W	0.03378545	0	0	0	11	0	0	0	2	23	53
YAL061W_YDL246C	0.04789775	0	0	0	4	0	0	0	1	38	38
YAL061W_YJR159W	0.00388375	0	0	0	53	0	0	0	1	38	38
YAL061W_YLR070C	0.0053035	0	0	0	53	0	0	0	1	38	38
YAL061W_YMR083W	0.0058575	0	0	0	3	0	0	0	1	30	70
YAL061W_YMR303C	-0.0023885	0	0	0	3	0	0	0	2	38	38
YAL061W_YMR318C	0.0307765	0	0	0	4	0	0	0	2	28	58
YAL061W_YOL086C	0.0604175	0	0	0	18	0	0	0	1	16	46
YAL062W_YOR375C	-0.012916	0	0	0	53	0	0	0	1	38	83
YAL063C_YDR134C	-0.0001974	0	0	0	53	0	0	0	0	38	38
YAL063C_YFL051C	0.016332	0	0	0	53	0	0	0	0	38	38
YAL063C_YKR102W	0.009066	0	0	0	53	0	0	0	0	53	112
YAL063C_YLR110C	0.0061414	0	0	0	53	0	0	0	0	33	92
YAL064C-A_YHR213W	0.03256625	0	0	0	53	0	0	0	0	38	38
YAL064C-A_YKR102W	0.0341475	0	0	0	53	0	0	0	0	38	38
YAL065C_YKR102W	0.0082076	0	0	0	53	0	0	0	0	38	38
YAL067C_YGR065C	0.03133689	0	0	0	53	0	0	0	0	15	88
YAL067C_YGR260W	0.00935451	0	0	0	53	0	0	0	0	14	29
YAL067C_YIL166C	-0.0313332	0	0	0	53	0	0	0	0	15	32
YAL067C_YJR152W	0.037206	0	0	0	53	0	0	0	0	15	48
YAL067C_YLL055W	-0.01887636	0	0	0	53	0	0	0	0	15	95
YAL067C_YLR004C	-0.02123696	0	0	0	53	0	0	0	0	38	38
YAL067C_YOL163W	0.0176424	0	0	0	53	0	0	0	0	38	38
YAL068C_YBR301W	-0.02523165	0	0	0	53	0	0	0	0	38	38
YAL068C_YDR542W	-0.03220145	0	0	0	53	0	0	0	0	38	38
YAL068C_YFL020C	0.00782785	0	0	0	53	0	0	0	0	38	38
YAL068C_YGL261C	0.00431971	0	0	0	53	0	0	0	0	38	38
YAL068C_YGR294W	-0.0173727	0	0	0	53	0	0	0	0	38	38
YAL068C_YIL011W	-0.00074575	0	0	0	53	0	0	0	0	38	38
YAL068C_YIL176C	-0.01595335	0	0	0	53	0	0	0	0	38	38
YAL068C_YIR041W	-0.0028736	0	0	0	53	0	0	0	0	38	38
YAL068C_YJL223C	-0.0045548	0	0	0	53	0	0	0	0	38	38
YAL068C_YJR150C	-0.01645805	0	0	0	53	0	0	0	0	38	38
YAL068C_YJR151C	-0.06986275	0	0	0	53	0	0	0	0	38	38
YAL068C_YKL224C	-0.00173635	0	0	0	53	0	0	0	0	38	38
YAL068C_YLL025W	-0.00991845	0	0	0	53	0	0	0	0	38	38
YAL068C_YLR461W	-0.0020745	0	0	0	53	0	0	0	0	38	38
YAL068C_YMR325W	-0.0278302	0	0	0	53	0	0	0	0	38	38
YAL068C_YOL161C	0.008117	0	0	0	53	0	0	0	0	38	38
YAL068C_YOR009W	0.04508915	0	0	0	53	0	0	0	0	38	38
YAL068C_YOR010C	-0.01890941	0	0	0	53	0	0	0	0	38	38
YAL068C_YPL282C	0.0095783	0	0	0	53	0	0	0	0	38	38
YAR002C-A_YGL200C	0.009357	0	0	12.64367816	87	0	0	0	0	31	65
YAR002C-A_YHR110W	-0.0212392	0	0	10.34482759	58	0	0	0	0	31	79
YAR003W_YBL008W	-0.05633435	0	0	4.166666667	24	0	0	0	1	20	41
YAR003W_YBR198C	-0.1727766	0	0	1.19760479	167	0	0	0	0	38	38
YAR003W_YCR072C	-0.0226838	0	0	0	41	0	0	0	0	8	28
YAR003W_YML102W	-0.11612075	0	0	6.896551724	29	0	0	0	0	20	52
YAR003W_YNL006W	0.01398085	0	0	0	30	0	0	0	0	20	66
YAR018C_YBL105C	0.06356455	0	0	4.918032787	122	0	0	0	1	32	64
YAR018C_YBR160W	-0.147569	0	0	2.576489533	621	0	0	0	1	25	57
YAR018C_YBR274W	-0.01018199	0	0	0	130	0	0	0	1	27	59
YAR018C_YCL024W	0.041533	0	0	2.380952381	126	0	0	0	0	31	63
YAR018C_YCR008W	0.01039745	0	0	0.724637681	138	0	0	0	0	17	49
YAR018C_YCR073C	0.0085004	0	0	0	108	0	0	0	0	32	90
YAR018C_YCR091W	-0.0184666	0	0	0.840336134	119	0	0	0	0	32	74
YAR018C_YDL028C	-0.01185331	0	0	4.255319149	141	0	0	0	0	32	72
YAR018C_YDL079C	0.0351005	0	0	1.063829787	94	0	0	0	0	38	38
YAR018C_YDL101C	-0.03206885	0	0	1.481481481	135	0	0	0	0	32	73
YAR018C_YDL108W	-0.0140065	0	0	0	127	0	0	0	0	22	54
YAR018C_YDL214C	-0.005	0	0	1.612903226	124	0	0	0	0	32	74
YAR018C_YDR122W	-0.02381866	0	0	4.62962963	108	0	0	0	1	32	91
YAR018C_YDR283C	-0.0342685	0	0	0	134	0	0	0	1	32	79
YAR018C_YDR466W	-0.01481801	0	0	0	124	0	0	0	0	32	81
YAR018C_YDR477W	-0.01701375	0	0	1.84501845	271	0	0	0	1	32	70
YAR018C_YDR490C	0.0067	0	0	0	105	0	0	0	0	32	73
YAR018C_YDR507C	-0.0427345	0	0	3.649635037	137	0	0	0	1	32	69
YAR018C_YDR523C	0.04390045	0	0	0	135	0	0	0	1	38	38
YAR018C_YER129W	0.00278104	0	0	1.904761905	105	0	0	0	1	32	72
YAR018C_YFR014C	-0.0078323	0	0	2.352941176	255	0	0	0	1	32	78
YAR018C_YGL158W	-0.00339975	0	0	0.442477876	226	0	0	0	0	6	38
YAR018C_YGL179C	0.00236765	0	0	1.19760479	167	0	0	0	0	32	70
YAR018C_YGL180W	-0.01739201	0	0	1.910828025	314	0	0	0	0	32	93
YAR018C_YGR040W	0.04274724	0	0	2.450980392	204	0	0	0	1	20	52
YAR018C_YGR092W	0.05710207	0	0	1.507537688	199	0	0	0	1	32	68
YAR018C_YHR030C	0.05221656	0	0	1.307189542	153	0	0	0	1	32	66
YAR018C_YHR082C	0.05271269	0	0	0.689655172	290	0	0	0	1	32	75
YAR018C_YJL057C	-0.00905236	0	0	0	145	0	0	0	0	38	38
YAR018C_YJL095W	0.0147979	0	0	1.904761905	210	0	0	0	1	16	48
YAR018C_YJL106W	-0.01915356	0	0	1.851851852	162	0	0	0	0	26	58
YAR018C_YJL128C	-0.02610215	0	0	0.877192982	114	0	0	0	1	32	66
YAR018C_YJL141C	-0.0165327	0	0	1.428571429	140	0	0	0	0	38	38
YAR018C_YJL164C	0.02261264	0	0	1.055408971	379	0	0	0	1	32	80
YAR018C_YJL187C	0.03341184	0	0	2.702702703	222	0	0	0	0	32	72
YAR018C_YKL101W	-0.02334639	0	0	1.734104046	173	0	0	0	0	32	69
YAR018C_YKL116C	-0.0006004	0	0	0.862068966	116	0	0	0	1	32	65
YAR018C_YKL139W	0.4745188	0	0	0	139	0	0	0	1	31	63
YAR018C_YKL161C	0.00102001	0	0	0.934579439	107	0	0	0	0	23	55
YAR018C_YKL166C	-0.00921996	0	0	3.314917127	181	0	0	0	1	16	48
YAR018C_YLR096W	0.00482146	0	0	3.428571429	175	0	0	0	0	32	65
YAR018C_YLR113W	0.00843195	0	0	0	131	0	0	0	1	32	64
YAR018C_YLR248W	-0.00308701	0	0	0	123	0	0	0	1	32	80
YAR018C_YMR104C	-0.01418811	0	0	0.980392157	102	0	0	0	1	38	38
YAR018C_YMR139W	0.01891324	0	0	0.763358779	131	0	0	0	1	32	82
YAR018C_YMR291W	-0.01324599	0	0	0	103	0	0	0	1	32	96
YAR018C_YNL020C	-0.00291149	0	0	1.869158879	107	0	0	0	0	27	59
YAR018C_YNR031C	-0.00148601	0	0	0	102	0	0	0	1	29	61
YAR018C_YNR047W	-0.09609945	0	0	0	92	0	0	0	1	32	86
YAR018C_YOL016C	-0.01009945	0	0	0.735294118	136	0	0	0	1	32	73
YAR018C_YOL113W	-0.00358034	0	0	0.729927007	137	0	0	0	0	32	75
YAR018C_YOL128C	0.00043425	0	0	0	112	0	0	0	0	32	70
YAR018C_YOR231W	0.01399965	0	0	0	117	0	0	0	0	32	77
YAR018C_YOR233W	-0.0154032	0	0	2.564102564	117	0	0	0	0	29	61
YAR018C_YOR351C	-0.02151284	0	0	1.360544218	147	0	0	0	0	38	38
YAR018C_YPL031C	0.0290099	0	0	2.524271845	515	0	0	0	1	32	74
YAR018C_YPL042C	0.12128175	0	0	1.526717557	131	0	0	0	0	32	64
YAR018C_YPL140C	0.0166337	0	0	0	107	0	0	0	1	29	61
YAR018C_YPL150W	0.02781961	0	0	1.6	125	0	0	0	0	32	73
YAR018C_YPL153C	0.03028108	0	0	1.52284264	197	0	0	0	0	32	70
YAR018C_YPL203W	-0.021499	0	0	0.609756098	164	0	0	0	0	32	80
YAR018C_YPL209C	-0.00571464	0	0	1.183431953	169	0	0	0	0	17	49
YAR018C_YPR054W	0.00377959	0	0	1.960784314	102	0	0	0	0	38	38
YAR018C_YPR111W	0.03332106	0	0	1.041666667	96	0	0	0	1	32	66
YAR018C_YPR161C	0.02355026	0	0	0.621118012	161	0	0	0	0	28	60
YAR019C_YBL105C	0.038767	0	0	0	65	0	0	0	1	32	73
YAR019C_YBR028C	0.014773	0	0	0	30	0	0	0	1	38	38
YAR019C_YBR059C	-0.034228	0	0	3.260869565	92	0	0	0	1	41	82
YAR019C_YBR160W	0.07964	0	0	1.592920354	565	0	0	0	1	25	66
YAR019C_YBR274W	0.0394674	0	0	1.515151515	66	0	0	0	1	27	68
YAR019C_YCL024W	-0.06908	0	0	4.761904762	63	0	0	0	0	31	72
YAR019C_YCR008W	-0.068387	0	0	2.702702703	74	0	0	0	0	17	58
YAR019C_YCR073C	-0.102404	0	0	4.651162791	43	0	0	0	0	41	99
YAR019C_YCR091W	-0.081684	0	0	5.555555556	54	0	0	0	0	41	83
YAR019C_YDL025C	-0.1270864	0	0	1.694915254	59	0	0	0	0	41	91
YAR019C_YDL028C	0.1044106	0	0	5	80	0	0	0	0	40	81
YAR019C_YDL079C	-0.12953	0	0	0	32	0	0	0	0	38	38
YAR019C_YDL101C	0.040951	0	0	1.369863014	73	0	0	0	0	41	82
YAR019C_YDL108W	0.08659	0	0	1.587301587	63	0	0	0	0	22	63
YAR019C_YDL214C	-0.1092	0	0	3.278688525	61	0	0	0	0	41	83
YAR019C_YDR122W	-0.0784484	0	0	0	50	0	0	0	1	41	100
YAR019C_YDR247W	-0.10461	0	0	0	86	0	0	0	1	41	91
YAR019C_YDR283C	0.01121	0	0	0	71	0	0	0	1	41	88
YAR019C_YDR466W	0.0264326	0	0	1.666666667	60	0	0	0	0	41	90
YAR019C_YDR477W	-0.027875	0	0	0.471698113	212	0	0	0	1	38	79
YAR019C_YDR490C	-0.0667	0	0	0	42	0	0	0	0	41	82
YAR019C_YDR507C	-0.02723	0	0	3.947368421	76	0	0	0	1	37	78
YAR019C_YDR523C	-0.244367	0	0	1.408450704	71	0	0	0	1	38	38
YAR019C_YER129W	-0.1533704	0	0	0	44	0	0	0	1	40	81
YAR019C_YFL033C	-0.181278	0	0	0	44	0	0	0	1	41	98
YAR019C_YFR014C	0.022198	0	0	0	198	0	0	0	1	41	87
YAR019C_YGL158W	-0.086815	0	0	1.863354037	161	0	0	0	0	6	47
YAR019C_YGL179C	-0.114739	0	0	0	106	0	0	0	0	38	79
YAR019C_YGL180W	-0.0108274	0	0	0.390625	256	0	0	0	0	41	102
YAR019C_YGR040W	-0.1729824	0	0	1.388888889	144	0	0	0	1	20	61
YAR019C_YGR052W	-0.047083	0	0	4.411764706	68	0	0	0	1	16	57
YAR019C_YGR092W	-0.4523882	0	0	5.303030303	132	0	0	0	1	36	77
YAR019C_YHR030C	-0.1851056	0	0	0	92	0	0	0	1	34	75
YAR019C_YHR079C	-0.0095286	0	0	2.857142857	105	0	0	0	0	28	69
YAR019C_YHR082C	-0.1204494	0	0	1.777777778	225	0	0	0	1	41	84
YAR019C_YIL035C	-0.260352	0	0	0.71942446	139	0	0	0	1	41	82
YAR019C_YIL095W	0.023095	0	0	2.912621359	103	0	0	0	0	33	74
YAR019C_YJL057C	0.0073136	0	0	3.797468354	79	0	0	0	0	38	38
YAR019C_YJL095W	-0.235554	0	0	2.027027027	148	0	0	0	1	16	57
YAR019C_YJL106W	-0.0071744	0	0	2	100	0	0	0	0	26	67
YAR019C_YJL128C	0.041309	0	0	0	52	0	0	0	1	34	75
YAR019C_YJL141C	-0.026298	0	0	0	79	0	0	0	0	38	38
YAR019C_YJL164C	-0.0195864	0	0	0.94637224	317	0	0	0	1	41	89
YAR019C_YJL165C	0.0242354	0	0	1.923076923	52	0	0	0	0	36	77
YAR019C_YJL187C	-0.0069784	0	0	1.226993865	163	0	0	0	0	40	81
